sdd_hhid,foodbev,alctob,foodIN,foodOUT,utilities,clothing,hhexpenses,health,transport,communic,recreat,educa,other,expm,fisherb4c4,foodbevR,alctobR,foodINR,foodOUTR,utilitiesR,clothingR,hhexpensesR,healthR,transportR,communicR,recreatR,educaR,otherR,expmR,region,quarter,urban,area,mainland,hhsize,adulteq
0097-001-001,1426750,0,1426750,0,5200,38000,35000,300000,0,0,0,0,124000,1890950,1.09682285785675,1300802.625,0,1300802.625,0,4740.96630859375,34645.5234375,31910.349609375,273517.28125,0,0,0,0,113053.8046875,1724025,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,2,1.440000057220459
0097-001-003,2089533.375,72800,2162333.5,0,183600,186000,212000,470700,0,120000,0,93000,114000,3355633.5,1.03654038906097,2015872.625,70233.6328125,2086106.375,0,177127.6875,179443.078125,204526.515625,454106.75,0,115769.7265625,0,89721.5390625,109981.2421875,3237339.75,4,Oct-Dec 2019,Urban,Rest of urban,Mainland,8,6.8400000631809235
0098-001-001,1539200,0,1539200,0,758400,142000,40000,0,0,180000,0,0,126000,2643600,1.09796249866486,1401869.375,0,1401869.375,0,690734,129330.4609375,36431.1171875,0,0,163940.03125,0,0,114758.015625,2407732.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.439999997615814
0099-001-001,5405400,0,4885400,520000,53200,184000,48000,104000,364000,144000,0,69500,243600,6431700,0.969407081604004,5575985.5,0,5039575.5,536410.375,54878.90625,189806.734375,49514.80078125,107282.0703125,375487.25,148544.40625,0,71693.3046875,251287.625,6634674,4,Jul-Sep 2019,Rural,Rural,Mainland,5,4.240000009536743
0099-001-004,2114171.5,0,2114171.5,0,269200,197000,80000,78000,0,96000,1000,0,130800,2769171.5,1.09796249866486,1925540.75,0,1925540.75,0,245181.421875,179423.25,72862.234375,71040.6796875,0,87434.6796875,910.77789306640625,0,119129.75,2522100.25,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,3,2.280000001192093
0099-001-006,3435466.75,0,367466.65625,3068000,53200,76000,26000,351000,0,0,0,0,9600,3875266.75,1.09682285785675,3132198.25,0,335028.25,2797170,48503.73046875,69291.046875,23704.830078125,320015.21875,0,0,0,0,8752.552734375,3533174.75,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,3,2.280000001192093
0099-008-001,1487200,390000,1565200,312000,147600,89000,8000,13000,0,0,0,19000,30000,2094800,0.972517251968384,1529227.375,401021.15625,1609431.625,320816.9375,151771.09375,91515.0859375,8226.0751953125,13367.3720703125,0,0,0,19536.927734375,30847.78125,2153997.75,4,Apr-Jun 2019,Rural,Rural,Mainland,5,3.5999999940395355
0100-001-001,837200,0,603200,234000,77200,107000,16000,35500,0,24000,0,4500,60000,1054400,0.969407081604004,863620.6875,0,622236,241384.65625,79636.3046875,110376.75,16504.93359375,36620.32421875,0,24757.400390625,0,4642.0126953125,61893.50390625,1087675.125,4,Jul-Sep 2019,Rural,Rural,Mainland,4,3.0799999833106995
0101-001-001,6082700,0,3841500,2241200,154400,269000,36000,78000,520000,144000,0,21500,133200,7169800,0.969407081604004,6274660,0,3962731.5,2311928.75,159272.609375,277489.21875,37136.1015625,80461.5546875,536410.375,148544.40625,0,22178.505859375,137403.578125,7396067.5,4,Jul-Sep 2019,Rural,Rural,Mainland,6,4.320000022649765
0101-001-002,2204800,0,0,2204800,144000,170000,88000,0,0,120000,0,0,134400,2691200,1.09796249866486,2008083.125,0,0,2008083.125,131152.015625,154832.25,80148.453125,0,0,109293.3515625,0,0,122408.5546875,2451085.5,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,1,1
