interview__key,sdd_hhid,cropid,ag10_02_1,ag10_02_2,ag10_02_3,ag10_03,ag10_04_1,ag10_04_2,ag10_05,ag10_06,ag10_07_1,ag10_07_2,ag10_08,ag10_09_1,ag10_09_2,ag10_10_1,ag10_10_2,ag10_11,ag10_12_1a,ag10_12_1b,ag10_12_2a,ag10_12_2b,ag10_13,ag10_14
70-42-29-42,0143-001-001,1,MAHINDI,1,PROCESSED,1,300,KG,390,NO,,,,,,,,,,,,,YES,30000
10-44-19-68,0154-001-001,1,MPUNGA,2,PROCESSED,2,120,KG,170,NO,,,,,,,,,,,,,YES,18000
10-44-19-68,0154-001-001,2,MPUNGA,2,BY-PRODUCT,11,50,KG,170,NO,,,,,,,,,,,,,NO,
88-54-76-45,0159-001-002,1,MAHINDI,1,PROCESSED,1,100,KG,120,NO,,,,,,,,,,,,,YES,6000
88-48-93-24,0174-002-003,1,MAHINDI,1,PROCESSED,1,173,KG,216,NO,,,,,,,,,,,,,YES,21600
36-54-74-87,0180-001-007,1,MAHINDI.,1,PROCESSED,1,160,KG,200,NO,,,,,,,,,,,,,YES,20000
36-54-74-87,0180-001-007,2,PUMBA.,1,BY-PRODUCT,9,40,KG,200,NO,,,,,,,,,,,,,NO,
36-54-74-87,0180-001-007,3,MPUNGA.,2,PROCESSED,2,160,KG,240,NO,,,,,,,,,,,,,YES,12000
82-20-98-85,0183-002-001,1,MAHINDI,1,PROCESSED,1,80,KG,100,NO,,,,,,,,,,,,,YES,10000
93-13-13-82,0183-002-003,1,MAHINDI,1,PROCESSED,1,35,KG,40,NO,,,,,,,,,,,,,YES,4000
93-13-13-82,0183-002-003,2,MAHINDI,1,BY-PRODUCT,9,5,KG,40,NO,,,,,,,,,,,,,NO,
93-13-13-82,0183-002-003,3,MPUNGA,2,PROCESSED,2,50,KG,80,NO,,,,,,,,,,,,,YES,5000
93-13-13-82,0183-002-003,4,MPUNGA,2,BY-PRODUCT,11,30,KG,80,NO,,,,,,,,,,,,,NO,
83-06-62-27,0208-004-001,1,MAHINDI,1,PROCESSED,1,80,KG,80,NO,,,,,,,,,,,,,YES,8000
32-61-13-34,0219-005-001,1,MAHINDI,1,PROCESSED,1,400,KG,400,NO,,,,,,,,,,,,,YES,44000
93-28-19-25,0236-005-001,1,MAHINDI,1,PROCESSED,1,540,KG,540,NO,,,,,,,,,,,,,YES,36000
42-84-07-76,0255-001-009,1,MAHINDI,1,PROCESSED,1,200,KG,200,NO,,,,,,,,,,,,,YES,10000
21-28-91-77,0266-001-001,1,MAHINDI,1,PROCESSED,1,168,KG,210,NO,,,,,,,,,,,,,YES,26000
61-93-73-52,0267-001-005,1,MUHOGO,10,PROCESSED,1,45,KG,45,NO,,,,,,,,,,,,,NO,
32-61-54-24,0275-001-002,1,MAHINDI,1,PROCESSED,1,180,KG,180,NO,,,,,,,,,,,,,YES,9000
32-61-54-24,0275-001-002,2,MTAMA,3,PROCESSED,1,200,KG,200,NO,,,,,,,,,,,,,YES,10000
01-12-50-30,0298-006-004,1,MAHINDI,1,PROCESSED,1,272,KG,340,NO,,,,,,,,,,,,,YES,15200
81-68-55-28,0298-006-006,1,MAHINDI,1,PROCESSED,1,476,KG,595,NO,,,,,,,,,,,,,YES,59500
50-08-76-82,0299-001-001,1,MAHINDI,2,PROCESSED,1,76,KG,80,NO,,,,,,,,,,,,,YES,6000
50-08-76-82,0299-001-001,2,MPUNGA,2,PROCESSED,2,40,KG,70,NO,,,,,,,,,,,,,NO,
16-73-84-34,0300-001-001,1,MAHINDI,2,PROCESSED,1,200,KG,200,NO,,,,,,,,,,,,,YES,20000
16-73-84-34,0300-001-001,2,MPUNGA,2,PROCESSED,2,105,KG,150,NO,,,,,,,,,,,,,YES,15000
21-51-87-14,0301-001-001,1,MTAMA,3,PROCESSED,1,40,KG,40,NO,,,,,,,,,,,,,YES,2000
21-51-87-14,0301-001-001,2,MUHOGO,10,PROCESSED,1,150,KG,150,NO,,,,,,,,,,,,,YES,7500
49-07-66-40,0301-005-001,1,MUHOGO,10,PROCESSED,1,56,KG,60,NO,,,,,,,,,,,,,YES,4200
30-98-65-42,0302-001-001,1,MAHINDI,1,PROCESSED,1,400,KG,500,NO,,,,,,,,,,,,,YES,10000
30-98-65-42,0302-001-001,2,MPUNGA,2,PROCESSED,2,250,KG,400,NO,,,,,,,,,,,,,NO,
30-98-65-42,0302-001-001,3,MTAMA,3,PROCESSED,1,300,KG,300,NO,,,,,,,,,,,,,YES,15000
66-47-83-10,0303-001-001,1,MAHINDI,1,PROCESSED,1,200,KG,200,NO,,,,,,,,,,,,,YES,20000
62-07-81-83,0304-001-001,1,MTAMA,3,PROCESSED,1,300,KG,300,NO,,,,,,,,,,,,,YES,15000
69-04-27-82,0306-001-001,1,MAHINDI,1,PROCESSED,1,200,KG,250,NO,,,,,,,,,,,,,YES,20000
80-51-24-60,0307-001-001,1,MAHINDI,1,PROCESSED,1,219,KG,274,NO,,,,,,,,,,,,,YES,22000
80-51-24-60,0307-001-001,2,MPUNGA,2,PROCESSED,2,168,KG,240,NO,,,,,,,,,,,,,NO,
98-25-23-09,0312-001-001,1,MAHINDI,1,PROCESSED,1,680,KG,680,NO,,,,,,,,,,,,,YES,68000
61-31-47-40,0312-002-001,1,MAHINDI,1,PROCESSED,1,108,KG,135,NO,,,,,,,,,,,,,YES,10000
22-19-05-49,0313-001-001,1,MAHINDI,1,PROCESSED,1,64,KG,80,NO,,,,,,,,,,,,,NO,
61-15-16-96,0314-001-001,1,MAHINDI,1,PROCESSED,1,600,KG,600,NO,,,,,,,,,,,,,YES,60000
66-32-50-84,0314-001-005,1,MAHINDI.,1,PROCESSED,1,240,KG,240,NO,,,,,,,,,,,,,YES,24000
66-32-50-84,0314-001-005,2,MTAMA,3,PROCESSED,1,120,KG,120,NO,,,,,,,,,,,,,YES,12000
33-84-24-00,0316-001-001,1,MAHINDI,1,PROCESSED,1,32,KG,40,NO,,,,,,,,,,,,,YES,3000
18-58-75-31,0322-006-001,1,MAHINDI,1,PROCESSED,1,180,KG,180,NO,,,,,,,,,,,,,YES,27000
52-03-88-73,0324-001-001,1,MTAMA,3,PROCESSED,1,153,KG,170,NO,,,,,,,,,,,,,NO,
38-80-82-46,0327-001-001,1,MTAMA,3,PROCESSED,1,80,KG,100,NO,,,,,,,,,,,,,YES,15000
24-39-40-17,0329-001-001,1,MAHINDI,1,PROCESSED,1,50,KG,50,NO,,,,,,,,,,,,,YES,5000
79-72-16-28,0330-001-001,1,MUHOGO,10,PROCESSED,1,300,KG,300,NO,,,,,,,,,,,,,NO,
62-23-66-59,0332-004-001,1,MAHINDI,1,PROCESSED,1,80,KG,80,NO,,,,,,,,,,,,,YES,4800
90-12-94-91,0335-001-001,1,MAHINDI,1,PROCESSED,1,450,KG,480,NO,,,,,,,,,,,,,YES,38400
59-32-89-82,0336-001-001,1,MAHINDI,1,PROCESSED,1,100,KG,126,NO,,,,,,,,,,,,,YES,18900
95-97-57-76,0337-001-001,1,MAHINDI,1,PROCESSED,1,270,KG,300,NO,,,,,,,,,,,,,YES,18000
79-32-59-15,0337-003-001,1,MAHINDI,1,PROCESSED,1,40,KG,50,NO,,,,,,,,,,,,,YES,4000
79-32-59-15,0337-003-001,2,MUHOGO,10,PROCESSED,1,100,KG,100,NO,,,,,,,,,,,,,YES,10000
57-22-81-69,0338-001-001,1,MAHINDI,1,PROCESSED,1,66,KG,66,NO,,,,,,,,,,,,,YES,6600
58-48-25-77,0339-001-001,1,MAHINDI,1,PROCESSED,1,72,KG,72,NO,,,,,,,,,,,,,YES,6000
09-00-90-33,0340-001-001,1,MAHINDI,1,PROCESSED,1,96,KG,120,NO,,,,,,,,,,,,,YES,9000
09-00-90-33,0340-001-001,2,MIHOGO,10,PROCESSED,1,120,KG,200,NO,,,,,,,,,,,,,YES,8500
33-87-72-22,0347-001-001,1,MAHINDI,1,PROCESSED,1,20,KG,20,NO,,,,,,,,,,,,,YES,2000
33-87-72-22,0347-001-001,2,MUHOGO,10,PROCESSED,1,150,KG,180,NO,,,,,,,,,,,,,YES,4500
27-37-98-68,0348-001-001,1,MUHOGO,10,PROCESSED,1,200,KG,200,NO,,,,,,,,,,,,,YES,20000
27-37-98-68,0348-001-001,2,MAHINDI,1,PROCESSED,1,12,KG,12,NO,,,,,,,,,,,,,YES,600
27-37-98-68,0348-001-001,3,MTAMA,3,PROCESSED,1,30,KG,30,NO,,,,,,,,,,,,,YES,1500
62-47-27-99,0348-001-005,1,MAHINDI,1,PROCESSED,1,110,KG,110,NO,,,,,,,,,,,,,YES,16500
62-47-27-99,0348-001-005,2,MPUNGA,2,PROCESSED,2,75,KG,100,NO,,,,,,,,,,,,,YES,22500
83-73-69-11,0350-001-001,1,MPUNGA,2,PROCESSED,2,90,KG,140,NO,,,,,,,,,,,,,YES,9000
62-06-81-29,0352-001-001,1,MAHINDI,1,PROCESSED,1,108,KG,108,NO,,,,,,,,,,,,,YES,10800
78-10-03-87,0356-001-001,1,MAHINDI,1,PROCESSED,1,120,KG,120,NO,,,,,,,,,,,,,YES,6000
78-10-03-87,0356-001-001,2,MIHOGO,10,PROCESSED,1,80,KG,80,NO,,,,,,,,,,,,,YES,6000
74-58-85-63,0357-001-001,1,MAHINDI,1,PROCESSED,1,156,KG,240,NO,,,,,,,,,,,,,YES,12000
74-58-85-63,0357-001-001,2,MIHOGO,10,PROCESSED,1,240,KG,240,NO,,,,,,,,,,,,,YES,18000
74-58-85-63,0357-001-001,3,PUMBA,1,BY-PRODUCT,9,84,KG,240,NO,,,,,,,,,,,,,NO,
16-56-85-66,0357-003-001,1,MAHINDI,1,PROCESSED,1,192,KG,216,NO,,,,,,,,,,,,,YES,19200
57-01-29-66,0359-001-001,1,MAHINDI,1,PROCESSED,1,162,KG,162,NO,,,,,,,,,,,,,YES,16200
05-93-71-40,0362-001-001,1,MAHINDI,1,PROCESSED,1,84,KG,84,NO,,,,,,,,,,,,,YES,12600
82-38-78-50,0363-003-001,1,MAHINDI,1,PROCESSED,1,86,KG,108,NO,,,,,,,,,,,,,YES,9000
98-93-28-99,0367-001-001,1,MAHINDI,1,PROCESSED,1,120,KG,90,NO,,,,,,,,,,,,,YES,12000
98-93-28-99,0367-001-001,2,PUMBA,1,PROCESSED,8,30,KG,120,NO,,,,,,,,,,,,,NO,
