interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
64-01-68-39,0074-001-001,2,YES,1
64-01-68-39,0074-001-001,5,YES,1
64-01-68-39,0074-001-001,6,,
64-01-68-39,0074-001-001,7,,
64-01-68-39,0074-001-001,8,,
64-01-68-39,0074-001-001,9,,
64-01-68-39,0074-001-001,10,,
05-43-63-02,0075-001-003,3,YES,1
69-76-07-75,0077-001-001,1,NO,
69-76-07-75,0077-001-001,2,YES,1
80-60-48-21,0077-003-001,1,,
80-60-48-21,0077-003-001,2,YES,1
80-60-48-21,0077-003-001,4,,
80-60-48-21,0077-003-001,5,,
80-60-48-21,0077-003-001,6,,
80-60-48-21,0077-003-001,7,,
80-60-48-21,0077-003-001,8,YES,1
77-61-09-41,0078-001-001,1,YES,1
77-61-09-41,0078-001-001,2,NO,
77-61-09-41,0078-001-001,3,YES,2
77-61-09-41,0078-001-001,4,YES,1
77-61-09-41,0078-001-001,5,NO,
77-61-09-41,0078-001-001,6,,
77-61-09-41,0078-001-001,7,,
77-61-09-41,0078-001-001,8,YES,1
77-61-09-41,0078-001-001,9,,
77-61-09-41,0078-001-001,10,YES,1
77-61-09-41,0078-001-001,11,,
77-61-09-41,0078-001-001,12,,
77-61-09-41,0078-001-001,13,,
77-61-09-41,0078-001-001,14,,
77-61-09-41,0078-001-001,15,,
03-09-85-87,0079-001-001,1,YES,1
03-09-85-87,0079-001-001,2,YES,1
03-09-85-87,0079-001-001,3,,
03-09-85-87,0079-001-001,4,,
03-09-85-87,0079-001-001,5,,
78-16-68-29,0080-001-001,1,YES,1
78-16-68-29,0080-001-001,2,YES,1
78-16-68-29,0080-001-001,3,,
78-16-68-29,0080-001-001,4,,
78-16-68-29,0080-001-001,5,,
78-16-68-29,0080-001-001,6,,
78-16-68-29,0080-001-001,7,,
82-35-18-51,0081-001-001,1,YES,1
82-35-18-51,0081-001-001,2,YES,1
82-35-18-51,0081-001-001,3,,
82-35-18-51,0081-001-001,4,NO,
82-35-18-51,0081-001-001,6,,
82-35-18-51,0081-001-001,7,,
82-35-18-51,0081-001-001,8,,
24-96-35-07,0081-004-001,1,YES,1
24-96-35-07,0081-004-001,2,,
24-96-35-07,0081-004-001,3,,
24-96-35-07,0081-004-001,4,,
61-09-91-34,0082-001-001,1,YES,1
61-09-91-34,0082-001-001,2,YES,1
61-09-91-34,0082-001-001,3,,
61-09-91-34,0082-001-001,4,,
61-09-91-34,0082-001-001,6,,
65-72-13-93,0082-003-001,1,NO,
65-72-13-93,0082-003-001,3,,
65-72-13-93,0082-003-001,4,NO,
65-72-13-93,0082-003-001,5,YES,1
65-72-13-93,0082-003-001,6,,
43-70-22-69,0082-003-002,1,YES,1
43-70-22-69,0082-003-002,2,YES,1
43-70-22-69,0082-003-002,3,,
69-63-97-41,0082-004-001,1,YES,1
69-63-97-41,0082-004-001,2,YES,1
69-63-97-41,0082-004-001,3,YES,1
69-63-97-41,0082-004-001,4,,
69-63-97-41,0082-004-001,5,,
69-63-97-41,0082-004-001,6,,
69-63-97-41,0082-004-001,7,,
69-63-97-41,0082-004-001,8,,
69-63-97-41,0082-004-001,9,,
43-56-83-29,0082-005-001,1,YES,2
43-56-83-29,0082-005-001,2,YES,1
43-56-83-29,0082-005-001,3,,
82-24-69-15,0083-001-001,1,,
82-24-69-15,0083-001-001,2,NO,
82-24-69-15,0083-001-001,3,,
82-24-69-15,0083-001-001,4,YES,1
82-24-69-15,0083-001-001,5,YES,1
82-24-69-15,0083-001-001,6,,
82-24-69-15,0083-001-001,7,NO,
82-24-69-15,0083-001-001,8,,
82-24-69-15,0083-001-001,9,,
71-57-99-29,0084-001-001,1,YES,1
71-57-99-29,0084-001-001,2,YES,1
71-57-99-29,0084-001-001,3,,
71-57-99-29,0084-001-001,4,,
71-57-99-29,0084-001-001,5,,
71-57-99-29,0084-001-001,6,,
74-56-02-42,0084-002-001,1,YES,1
74-56-02-42,0084-002-001,3,YES,1
74-56-02-42,0084-002-001,4,NO,
74-56-02-42,0084-002-001,5,,
74-56-02-42,0084-002-001,6,,
74-56-02-42,0084-002-001,7,,
74-56-02-42,0084-002-001,8,,
70-36-26-23,0085-001-001,1,NO,
12-34-17-02,0085-002-001,1,YES,1
12-34-17-02,0085-002-001,2,YES,1
12-34-17-02,0085-002-001,3,,
05-51-26-77,0085-003-001,1,YES,1
05-51-26-77,0085-003-001,2,YES,1
05-51-26-77,0085-003-001,3,,
05-51-26-77,0085-003-001,4,,
08-61-34-21,0086-001-001,1,YES,1
08-61-34-21,0086-001-001,2,,
08-61-34-21,0086-001-001,3,,
08-61-34-21,0086-001-001,4,,
07-11-78-55,0087-001-001,1,YES,1
07-11-78-55,0087-001-001,2,YES,1
07-11-78-55,0087-001-001,3,,
07-11-78-55,0087-001-001,4,,
26-78-44-09,0087-001-002,2,YES,1
26-78-44-09,0087-001-002,3,,
26-78-44-09,0087-001-002,4,,
26-78-44-09,0087-001-002,5,NO,
74-12-78-76,0088-001-001,1,YES,1
74-12-78-76,0088-001-001,2,YES,1
74-12-78-76,0088-001-001,3,,
74-12-78-76,0088-001-001,4,,
74-12-78-76,0088-001-001,5,,
74-12-78-76,0088-001-001,6,,
47-53-89-65,0089-001-001,1,YES,1
47-53-89-65,0089-001-001,2,NO,
47-53-89-65,0089-001-001,3,NO,
47-53-89-65,0089-001-001,4,,
47-53-89-65,0089-001-001,5,,
47-53-89-65,0089-001-001,6,,
47-53-89-65,0089-001-001,7,,
47-53-89-65,0089-001-001,8,,
47-53-89-65,0089-001-001,9,,
47-53-89-65,0089-001-001,10,,
67-17-25-56,0089-002-001,1,YES,1
67-17-25-56,0089-002-001,4,,
67-17-25-56,0089-002-001,5,NO,
67-17-25-56,0089-002-001,6,,
11-84-02-64,0089-002-002,1,YES,1
11-84-02-64,0089-002-002,2,YES,1
11-84-02-64,0089-002-002,3,,
13-79-88-08,0090-001-001,1,YES,1
13-79-88-08,0090-001-001,2,NO,
13-79-88-08,0090-001-001,3,NO,
13-79-88-08,0090-001-001,4,YES,1
43-96-03-62,0090-001-005,1,YES,1
43-96-03-62,0090-001-005,2,NO,
43-96-03-62,0090-001-005,3,,
42-78-55-98,0091-001-001,1,YES,1
42-78-55-98,0091-001-001,2,,
01-67-04-36,0092-001-001,1,YES,1
01-67-04-36,0092-001-001,2,NO,
01-67-04-36,0092-001-001,3,,
01-67-04-36,0092-001-001,4,,
01-67-04-36,0092-001-001,5,,
18-41-40-51,0093-001-001,1,,
18-41-40-51,0093-001-001,2,YES,1
18-41-40-51,0093-001-001,3,YES,1
18-41-40-51,0093-001-001,4,,
18-41-40-51,0093-001-001,6,YES,1
70-24-33-41,0096-001-001,1,YES,1
70-24-33-41,0096-001-001,2,NO,
70-24-33-41,0096-001-001,3,,
70-24-33-41,0096-001-001,4,,
70-24-33-41,0096-001-001,5,,
