interview__key,sdd_hhid,lvstckid,lf06_01,lf06_02,lf06_03,lf06_04_1,lf06_04_2,lf06_05_1,lf06_05_2,lf06_06,lf06_07,lf06_08,lf06_09,lf06_10,lf06_11,lf06_12a,lf06_12b,lf06_13_1,lf06_13_2
44-35-85-32,0060-001-001,LARGE RUMINANTS,1,3,2,MAY,2,AUGUST,1,LIMITED SUCKLING,2,0,1,0,0,,,,
44-35-85-32,0060-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,LARGE RUMINANTS,3,8,1,MARCH,1,AUGUST,0.5,LIMITED SUCKLING,1,1,1,0,1000,JIRANI,NDANI YA KIJIJI AU MJI,1,2
47-61-12-15,0062-001-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
35-43-12-92,0062-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
35-43-12-92,0062-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
47-38-96-20,0065-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
47-38-96-20,0065-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
68-03-68-88,0066-002-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
68-03-68-88,0066-002-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,SMALL RUMINANTS,HAPANA,,,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
99-00-08-27,0066-003-004,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
99-00-08-27,0066-003-004,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
03-98-19-65,0066-003-005,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
03-98-19-65,0066-003-005,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
39-00-30-36,0066-003-006,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
39-00-30-36,0066-003-006,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
33-84-05-95,0067-001-002,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
33-84-05-95,0067-001-002,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,LARGE RUMINANTS,1,5,4,FEBRUARY,6,AUGUST,4,LIMITED SUCKLING,2,0,2,2,3000,SOKO,KARIBU NA MJI,2,
13-42-14-49,0067-004-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
91-76-63-44,0071-001-001,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
91-76-63-44,0071-001-001,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
81-33-13-06,0071-001-003,LARGE RUMINANTS,,,,,,,,,,,,,,,,,
81-33-13-06,0071-001-003,SMALL RUMINANTS,,,,,,,,,,,,,,,,,
