interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
77-61-09-41,0078-001-001,58,YES,15,5000,2,,2,,GULIO,WILAYA NYINGINE,GULIO,WILAYA NYINGINE,NO,,,,,NO,,,,15,0,0,0,0
77-61-09-41,0078-001-001,102,YES,80,24000,1,,1,,GULIO,WILAYA NYINGINE,GULIO,WILAYA NYINGINE,NO,,,,,NO,,,,10,0,0,0,0
03-09-85-87,0079-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,30,0
03-09-85-87,0079-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,5,0
03-09-85-87,0079-001-001,56,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,25000,30,0,0,20,0
03-09-85-87,0079-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,4,160000,40,0,0,80,0
78-16-68-29,0080-001-001,53,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,15000,40,0,0,20,0
78-16-68-29,0080-001-001,54,NO,,,,,,,,,,,NO,,,,,NO,,,,28,0,0,5,0
78-16-68-29,0080-001-001,55,YES,225,185000,1,2,1,2,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,40,0,0,10,0
78-16-68-29,0080-001-001,56,YES,400,200000,1,2,1,2,DUKANI/MCHUUZI,KARIBU NA KIJIJI,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,,,,YES,ROTTING,2,40000,30,0,0,30,0
82-35-18-51,0081-001-001,55,YES,910,230000,3,4,1,,GULIO,KARIBU NA KIJIJI,GULIO,KARIBU NA KIJIJI,NO,,,,,NO,,,,160,0,0,0,0
61-09-91-34,0082-001-001,54,YES,40,6000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
61-09-91-34,0082-001-001,55,YES,300,300000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,150,0,0,50,0
61-09-91-34,0082-001-001,56,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,20,0
61-09-91-34,0082-001-001,64,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,70,0
61-09-91-34,0082-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,20,0
65-72-13-93,0082-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,450,0,0,0,0
69-63-97-41,0082-004-001,55,YES,300,300000,1,,1,,SOKO,WILAYA NYINGINE,SOKO,WILAYA NYINGINE,NO,,,,,NO,,,,500,0,0,200,0
82-24-69-15,0083-001-001,53,YES,2250,135000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,250,0,0,0,0
82-24-69-15,0083-001-001,54,YES,240,180000,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,120,0,0,0,0
82-24-69-15,0083-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,600,0,0,450,0
82-24-69-15,0083-001-001,56,YES,800,144000,1,2,2,3,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,100,0,0,0,0
82-24-69-15,0083-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
71-57-99-29,0084-001-001,55,YES,90,37500,1,2,1,2,M/BIASHARA BINAFSI,KARIBU NA MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,72,0,0,0,0
74-56-02-42,0084-002-001,54,YES,30,6000,1,,1,,DUKANI/MCHUUZI,KARIBU NA KIJIJI,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,,,,NO,,,,5,0,0,0,0
74-56-02-42,0084-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,0,0
74-56-02-42,0084-002-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,0,0
70-36-26-23,0085-001-001,55,YES,600,360000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,100,0,0,300,0
70-36-26-23,0085-001-001,56,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,70,0
05-51-26-77,0085-003-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,42,0,0,0,0
07-11-78-55,0087-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
07-11-78-55,0087-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
26-78-44-09,0087-001-002,53,YES,250,15000,2,5,2,5,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
26-78-44-09,0087-001-002,55,YES,170,51000,2,5,2,5,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,150,0,0,30,0
26-78-44-09,0087-001-002,56,YES,30,20000,2,5,2,5,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,0,0
74-12-78-76,0088-001-001,53,YES,250,15000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,35,0,0,0,0
74-12-78-76,0088-001-001,54,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,10,0
74-12-78-76,0088-001-001,55,YES,150,60000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,98,0,0,0,0
74-12-78-76,0088-001-001,103,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
47-53-89-65,0089-001-001,53,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,0,0
47-53-89-65,0089-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,300,0,0,0,0
47-53-89-65,0089-001-001,59,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
67-17-25-56,0089-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,170,0,0,50,0
67-17-25-56,0089-002-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
13-79-88-08,0090-001-001,53,YES,500,50000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,100,0,0,0,0
13-79-88-08,0090-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,240,0,0,0,0
13-79-88-08,0090-001-001,56,YES,200,20000,1,2,1,2,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,0,0
43-96-03-62,0090-001-005,57,NO,,,,,,,,,,,NO,,,,,NO,,,,2,0,0,0,0
43-96-03-62,0090-001-005,64,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,0,0
70-24-33-41,0096-001-001,85,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,5,0
70-24-33-41,0096-001-001,102,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,5,0
42-11-56-10,0096-002-002,57,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,30,0
93-47-38-83,0097-001-003,53,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
