interview__key,sdd_hhid,cropid,ag7b_02,ag7b_03,ag7b_04,ag7b_05_1,ag7b_05_2,ag7b_06_1,ag7b_06_2,ag7b_07_1a,ag7b_07_1b,ag7b_07_2a,ag7b_07_2b,ag7b_08,ag7b_09,ag7b_10,ag7b_11,ag7b_12,ag7b_13,ag7b_14,ag7b_15,ag7b_16,ag7b_17,ag7b_18,ag7b_19,ag7b_20,ag7b_21
57-01-29-66,0359-001-001,30,YES,180,150,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,89,0,0,40,0
57-01-29-66,0359-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
34-32-29-13,0360-001-001,31,YES,350,1155000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
05-93-71-40,0362-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,160,0,45,35,0
05-93-71-40,0362-001-001,31,YES,150,450000,1,,1,,MKATABA BIASHARA,NDANI YA KIJIJI/MJI,MKATABA BIASHARA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,10,0,0,0,0
82-38-78-50,0363-003-001,10,NO,,,,,,,,,,,YES,30,SACKS/OPEN DRUM,NO,,NO,,,,30,0,0,20,0
82-38-78-50,0363-003-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,5,0
82-38-78-50,0363-003-001,31,YES,59,129800,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
98-93-28-99,0367-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
37-91-82-56,0369-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,0,0
37-91-82-56,0369-001-001,31,YES,300,900000,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
73-64-57-68,0373-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,48,0,0,24,0
87-29-04-68,0377-001-001,31,YES,400,1240000,1,,1,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,5,0,0,0,0
80-78-20-03,0381-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,80,0,0,20,0
11-13-08-42,0386-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
11-13-08-42,0386-001-001,31,YES,430,1419000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,25,0,0,0,0
90-22-50-43,0387-001-001,31,YES,6,15000,1,,1,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,2,0,0,0,0
41-18-85-21,0388-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,15,0,0,0,0
41-18-85-21,0388-001-001,31,NO,,,,,,,,,,,NO,,,,,NO,,,,5,0,0,0,0
43-97-80-50,0389-001-001,10,YES,120,40000,1,6,1,6,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,90,0,0,30,0
43-97-80-50,0389-001-001,31,YES,317,1046100,1,6,1,6,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
49-08-86-51,0389-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,103,0,0,95,0
98-73-14-89,0390-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
77-89-92-35,0391-001-001,31,YES,11900,39270000,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,70,0,2850,150,0
42-04-98-59,0392-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
42-04-98-59,0392-001-002,31,YES,255,841500,1,,1,,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
91-52-62-82,0393-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
91-52-62-82,0393-001-001,31,YES,1088,3590400,1,2,1,2,USHIRIKA,NDANI YA KIJIJI/MJI,USHIRIKA,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
68-78-67-09,0393-002-001,31,YES,172,567600,1,,1,,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,8,0,0,0,0
59-34-76-55,0394-001-001,31,YES,826,2725800,1,2,1,2,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,SERIKALI YA KIJIJI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
36-58-37-13,0395-001-006,98,YES,120,30000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
75-24-28-19,0403-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,0,0
23-48-39-75,0404-001-001,98,YES,1200,150000,1,,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,0,0,0,0,0
90-30-68-35,0407-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,0,0
51-68-01-74,0408-001-001,44,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,20,0
98-64-80-85,0411-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,YES,80,IMPROVED LOCALLY MADE STRUCTURE,NO,,NO,,,,340,0,0,0,0
98-64-80-85,0411-001-001,30,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,15,0,0,0,0
61-37-92-17,0418-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
64-07-55-27,0422-106-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,250,0,0,50,0
56-15-63-11,0424-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,750,0,0,100,0
79-86-35-12,0425-001-001,10,NO,,,,,,,,,,,YES,40,SACKS/OPEN DRUM,NO,,NO,,,,30,0,0,0,0
56-01-92-97,0426-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,2000,0,0,0,0
73-36-66-15,0427-001-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,220,0,0,60,0
46-28-63-44,0430-002-001,10,NO,,,,,,,,,,,YES,100,OTHER (SPECIFY),NO,,NO,,,,1200,0,0,200,0
20-19-96-28,0432-001-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,400,0,0,0,0
89-59-90-58,0436-001-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,150,0,0,0,0
60-87-75-28,0436-002-001,10,NO,,,,,,,,,,,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,50,0,0,0,0
03-49-85-68,0437-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,500,0,0,100,0
03-49-85-68,0437-001-001,30,YES,45,25000,1,,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,90,0,0,65,0
