interview__key,sdd_hhid,cropid,ag7b_02,ag7b_03,ag7b_04,ag7b_05_1,ag7b_05_2,ag7b_06_1,ag7b_06_2,ag7b_07_1a,ag7b_07_1b,ag7b_07_2a,ag7b_07_2b,ag7b_08,ag7b_09,ag7b_10,ag7b_11,ag7b_12,ag7b_13,ag7b_14,ag7b_15,ag7b_16,ag7b_17,ag7b_18,ag7b_19,ag7b_20,ag7b_21
71-49-87-81,0740-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,100,0
46-44-66-21,0740-003-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,320,0,0,180,0
09-76-22-49,0741-001-001,10,NO,,,,,,,,,,,YES,25,UNPROTECTED PILE,NO,,NO,,,,160,0,0,0,0
14-06-51-04,0741-001-004,10,YES,200,60000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,100,0,0,0,0
50-01-48-22,0742-001-001,10,YES,500,100000,3,,1,3,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,1000,0,0,0,0
50-01-48-22,0742-001-001,98,NO,,,,,,,,,,,NO,,,,,NO,,,,400,0,0,0,0
54-99-39-86,0743-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,WILAYA NYINGINE,NO,,,,,NO,,,,40,0,0,40,0
11-42-87-71,0744-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,300,0,0,70,0
43-11-94-86,0744-005-002,10,YES,54,30000,2,,2,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,YES,40,SACKS/OPEN DRUM,NO,,NO,,,,210,0,0,50,0
83-40-04-19,0745-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,230,0,0,0,0
30-77-22-01,0746-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,700,0,0,0,0
31-95-03-62,0747-001-001,10,YES,160,80000,2,,1,2,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,YES,50,SACKS/OPEN DRUM,NO,,NO,,,,150,0,0,0,0
90-66-22-54,0748-001-001,10,YES,200,60000,1,2,1,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,620,0,0,20,0
91-74-73-51,0752-021-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,470,0,0,200,0
95-00-47-94,0761-001-001,10,YES,4000,2000000,1,,1,,SOKO,KARIBU NA KIJIJI,SOKO,KARIBU NA KIJIJI,NO,,,,,NO,,,,50,0,0,0,0
27-22-49-12,0762-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,300,0,0,100,0
63-77-64-08,0773-001-001,10,YES,100,100000,1,2,1,,SOKO,NDANI YA KIJIJI/MJI,SOKO,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,100,0,0,50,0
16-44-54-61,0773-001-003,10,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,75,0
39-76-12-55,0776-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
70-77-85-90,0778-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,600,0,0,200,0
70-77-85-90,0778-001-001,50,YES,80,1120000,1,,1,,"NYINGINE, TAJA",MKOA MWINGINE,"NYINGINE, TAJA",MKOA MWINGINE,NO,,,,,NO,,,,0,0,0,0,0
73-75-54-66,0780-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,50,0
01-05-09-28,0783-001-001,10,YES,500,300000,1,,1,,SOKO KUU,MKOA MWINGINE,SOKO KUU,MKOA MWINGINE,NO,,,,,NO,,,,50,0,0,50,0
01-05-09-28,0783-001-001,50,YES,75,325000,1,,1,,"NYINGINE, TAJA",KARIBU NA MJI,"NYINGINE, TAJA",KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
04-67-21-54,0783-001-006,10,NO,,,,,,,,,,,NO,,,,,NO,,,,25,0,0,25,0
04-67-21-54,0783-001-006,50,YES,100,700000,1,,1,,SERIKALI YA KIJIJI,KARIBU NA KIJIJI,SERIKALI YA KIJIJI,KARIBU NA KIJIJI,NO,,,,,NO,,,,0,0,0,0,0
92-08-19-67,0785-001-006,10,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,10,0
05-09-03-42,0797-002-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,5,0
11-50-63-98,0828-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,0,0
34-57-47-47,0828-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,120,0,0,0,0
76-13-11-27,0830-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,30,60000,0,20,40000
34-83-13-34,0840-001-002,10,NO,,,,,,,,,,,NO,,,,,NO,,,,200,60,0,100,0
70-81-71-72,0840-001-003,30,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,0,0
50-33-65-85,0841-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,5,0
55-18-26-79,0843-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,7,0,0,3,0
15-99-63-51,0844-004-001,10,YES,20,40000,1,,1,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,20,0,0,10,0
78-45-29-07,0848-001-003,30,YES,30,250000,1,,1,,SOKO KUU,WILAYA NYINGINE,SOKO KUU,WILAYA NYINGINE,NO,,,,,NO,,,,30,0,0,40,0
37-95-22-04,0848-001-004,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,75,0,0,25,0
37-11-18-81,0851-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,200,0,0,50,0
34-55-40-03,0852-001-001,10,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,30,0
08-17-94-34,0854-001-001,30,NO,,,,,,,,,,,NO,,,,,NO,,,,250,0,0,50,0
08-17-94-34,0854-001-001,50,YES,100,840000,1,,1,,"NYINGINE, TAJA",KARIBU NA MJI,"NYINGINE, TAJA",KARIBU NA MJI,NO,,,,,NO,,,,0,0,0,0,0
68-74-43-56,0855-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,220,0,0,100,0
88-80-22-55,0856-001-003,10,NO,,,,,,,,,,,NO,,,,,NO,,,,10,0,0,10,0
43-58-88-26,0858-001-001,10,NO,,,,,,,,NDANI YA KIJIJI/MJI,,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,50,0,0,20,0
