interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
96-66-16-43,0034-001-001,8,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,9,NO,,,,,,,,,,,,,,
96-66-16-43,0034-001-001,11,NO,,,,,,,,,,,,,,
15-50-37-82,0036-001-001,1,YES,YES,21000,NO,,NO,,NO,,NO,,NO,,NO,
15-50-37-82,0036-001-001,3,NO,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,1,NO,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,2,YES,YES,7500,NO,,NO,,NO,,NO,,NO,,NO,
52-00-18-35,0038-001-001,3,NO,,,,,,,,,,,,,,
52-00-18-35,0038-001-001,4,NO,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,1,NO,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,2,NO,,,,,,,,,,,,,,
48-91-62-56,0039-001-001,3,NO,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,1,NO,,,,,,,,,,,,,,
69-55-32-84,0040-001-001,2,NO,,,,,,,,,,,,,,
96-09-76-36,0041-001-001,1,YES,YES,35000,YES,21000,NO,,NO,,YES,3500,NO,,YES,4200
96-09-76-36,0041-001-001,3,NO,,,,,,,,,,,,,,
67-96-69-36,0041-004-001,1,YES,NO,,NO,,NO,,NO,,NO,,NO,,YES,6000
67-96-69-36,0041-004-001,3,NO,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,1,NO,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,3,NO,,,,,,,,,,,,,,
25-80-02-40,0042-001-001,4,NO,,,,,,,,,,,,,,
63-16-88-22,0042-001-002,1,YES,YES,16000,YES,6500,NO,,NO,,YES,2500,NO,,YES,4800
13-15-52-70,0043-001-001,1,NO,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,2,NO,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,3,NO,,,,,,,,,,,,,,
13-15-52-70,0043-001-001,4,NO,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,1,NO,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,2,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
22-43-84-51,0044-001-001,3,NO,,,,,,,,,,,,,,
22-43-84-51,0044-001-001,4,NO,,,,,,,,,,,,,,
73-81-30-49,0045-001-001,1,YES,YES,12000,NO,,NO,,NO,,YES,3000,NO,,NO,
73-81-30-49,0045-001-001,2,YES,YES,10000,NO,,NO,,NO,,NO,,NO,,NO,
73-81-30-49,0045-001-001,3,YES,YES,5000,NO,,NO,,NO,,NO,,NO,,NO,
73-81-30-49,0045-001-001,4,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,1,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,2,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,4,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,5,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,6,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,7,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,9,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,10,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,11,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,12,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,13,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,14,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,15,NO,,,,,,,,,,,,,,
43-77-98-27,0046-001-001,16,NO,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,1,YES,YES,14000,NO,,NO,,NO,,YES,2000,NO,,NO,
24-75-61-52,0047-001-001,2,NO,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,3,NO,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,4,YES,YES,6000,NO,,NO,,NO,,YES,3500,NO,,YES,2400
24-75-61-52,0047-001-001,6,NO,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,7,NO,,,,,,,,,,,,,,
24-75-61-52,0047-001-001,8,NO,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,1,NO,,,,,,,,,,,,,,
97-60-31-67,0048-001-001,5,NO,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,1,NO,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,2,NO,,,,,,,,,,,,,,
03-68-77-59,0049-001-001,4,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,1,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,2,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,3,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,4,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,5,NO,,,,,,,,,,,,,,
88-71-20-70,0050-001-001,6,NO,,,,,,,,,,,,,,
62-93-39-20,0051-001-001,1,YES,YES,3000,NO,,NO,,YES,3000,NO,,NO,,NO,
62-93-39-20,0051-001-001,5,NO,,,,,,,,,,,,,,
92-89-07-22,0051-001-002,1,YES,YES,6000,NO,,NO,,NO,,NO,,YES,1000,NO,
92-89-07-22,0051-001-002,2,YES,YES,6000,NO,,NO,,NO,,YES,2000,YES,1500,NO,
28-71-87-26,0051-001-003,1,YES,YES,25000,YES,6000,NO,,NO,,YES,3000,NO,,NO,
28-71-87-26,0051-001-003,2,NO,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,3,NO,,,,,,,,,,,,,,
28-71-87-26,0051-001-003,4,YES,YES,15000,YES,10000,NO,,NO,,YES,3000,NO,,NO,
00-72-79-53,0055-001-001,1,NO,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,1,NO,,,,,,,,,,,,,,
72-59-54-68,0055-003-001,2,NO,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,1,NO,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,2,NO,,,,,,,,,,,,,,
73-41-85-14,0056-001-001,3,NO,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,1,NO,,,,,,,,,,,,,,
16-64-27-88,0057-001-001,2,NO,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,1,YES,YES,8000,NO,,YES,5000,YES,18000,NO,,NO,,NO,
34-42-58-96,0058-001-001,2,NO,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,3,NO,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,4,NO,,,,,,,,,,,,,,
34-42-58-96,0058-001-001,5,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
77-68-44-59,0059-001-001,1,NO,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,2,NO,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,3,NO,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,4,NO,,,,,,,,,,,,,,
77-68-44-59,0059-001-001,5,NO,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,1,NO,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,2,NO,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,3,NO,,,,,,,,,,,,,,
44-35-85-32,0060-001-001,4,NO,,,,,,,,,,,,,,
45-55-29-47,0061-001-001,1,YES,YES,42000,NO,,NO,,NO,,YES,500,NO,,NO,
47-61-12-15,0062-001-001,1,NO,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,2,NO,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,7,YES,YES,,NO,,NO,,NO,,NO,,NO,,NO,
47-61-12-15,0062-001-001,8,NO,,,,,,,,,,,,,,
47-61-12-15,0062-001-001,9,NO,,,,,,,,,,,,,,
35-43-12-92,0062-001-003,1,YES,YES,3000,NO,,NO,,NO,,NO,,NO,,NO,
35-43-12-92,0062-001-003,2,NO,,,,,,,,,,,,,,
35-43-12-92,0062-001-003,3,NO,,,,,,,,,,,,,,
53-26-19-17,0062-001-004,1,YES,YES,45000,NO,,NO,,NO,,NO,,NO,,NO,
53-26-19-17,0062-001-004,2,NO,,,,,,,,,,,,,,
56-72-41-10,0062-001-005,1,YES,YES,16000,NO,,NO,,NO,,YES,4700,NO,,NO,
20-34-21-50,0062-004-001,1,YES,YES,2500,NO,,NO,,NO,,NO,,NO,,NO,
20-34-21-50,0062-004-001,2,NO,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,3,NO,,,,,,,,,,,,,,
20-34-21-50,0062-004-001,4,NO,,,,,,,,,,,,,,
67-14-39-51,0063-001-003,1,YES,YES,21000,NO,,NO,,NO,,YES,7000,NO,,NO,
47-38-96-20,0065-001-001,1,NO,,,,,,,,,,,,,,
68-03-68-88,0066-002-001,1,YES,YES,16000,YES,2500,NO,,NO,,YES,2000,NO,,YES,4200
32-51-53-41,0066-003-001,1,NO,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,2,YES,YES,32000,NO,,NO,,NO,,NO,,NO,,NO,
32-51-53-41,0066-003-001,7,YES,YES,2000,NO,,NO,,NO,,NO,,NO,,NO,
32-51-53-41,0066-003-001,8,NO,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,9,NO,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,11,NO,,,,,,,,,,,,,,
32-51-53-41,0066-003-001,12,NO,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,1,NO,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,2,NO,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,3,NO,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,4,NO,,,,,,,,,,,,,,
09-55-27-80,0066-003-003,5,NO,,,,,,,,,,,,,,
99-00-08-27,0066-003-004,1,YES,YES,12000,NO,,NO,,NO,,YES,2000,NO,,YES,1000
03-98-19-65,0066-003-005,1,YES,YES,18000,YES,9000,NO,,NO,,YES,3000,NO,,YES,6000
39-00-30-36,0066-003-006,1,YES,NO,,NO,,NO,,NO,,YES,1000,NO,,YES,1000
39-00-30-36,0066-003-006,2,NO,,,,,,,,,,,,,,
47-27-42-34,0067-001-001,1,YES,YES,6000,NO,,NO,,NO,,YES,2400,NO,,NO,
47-27-42-34,0067-001-001,2,YES,NO,,YES,3000,NO,,NO,,YES,1000,NO,,NO,
47-27-42-34,0067-001-001,3,YES,YES,35000,NO,,NO,,NO,,NO,,NO,,NO,
