interview__key,sdd_hhid,cropid,ag5b_01,ag5b_02,ag5b_03,ag5b_04_1,ag5b_04_2,ag5b_05,ag5b_06,ag5b_07_1,ag5b_07_2,ag5b_08,ag5b_09_1,ag5b_09_2,ag5b_10_1,ag5b_10_2,ag5b_11a,ag5b_11_1,ag5b_11_2,ag5b_12,ag5b_13,ag5b_14_1,ag5b_14_2,ag5b_15,ag5b_16_1,ag5b_16_2,ag5b_17_1,ag5b_17_2,ag5b_18,ag5b_19,ag5b_20,ag5b_21,ag5b_22,ag5b_23,ag5b_24,ag5b_25,ag5b_26,ag5b_27,ag5b_28,ag5b_29,ag5b_30,ag5b_31,ag5b_32,ag5b_32a,ag5b_32b,ag5b_32c,ag5b_32d,ag5b_32e,ag5b_33,ag5b_34,ag5b_35,ag5b_36_1a,ag5b_36_1b,ag5b_36_2a,ag5b_36_2b
35-87-73-75,0597-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,57,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,60,0,0,3,0,RESIDUE WAS LEFT IN FIELD,,,,,,
35-87-73-75,0597-001-001,17,YES,7,10500,JIRANI,NDANI YA KIJIJI/MJI,7,10500,MAY,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,4,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,7,2,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
90-31-84-80,0598-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,120,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,190,10,0,40,0,RESIDUE WAS LEFT IN FIELD,,,,,,
25-56-28-11,0602-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,198,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,72,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
25-56-28-11,0602-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,80,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
59-14-73-55,0606-001-001,1,YES,108,30000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,108,30000,JUNE,,1,1,,1,,HAPANA,,,,,,,,,,,,NO,,,,,YES,90,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,54,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
34-57-76-92,0609-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,30,0,0,20,0,FOR GRAZING OWN ANIMALS,,,,,,
86-97-87-20,0642-001-003,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,125,5,0,14,0,RESIDUE WAS LEFT IN FIELD,,,,,,
86-97-87-20,0642-001-003,17,YES,60,45000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,60,45000,MARCH,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,14,6,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
15-94-42-33,0642-001-004,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,10,0,0,0,MULCHED,,,,,,
96-16-28-77,0642-001-006,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,54,9,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
96-16-28-77,0642-001-006,17,YES,40,24000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,40,24000,FEBRUARY,2018,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,40,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
09-53-11-55,0643-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,40,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
22-96-87-35,0643-001-004,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,MULCHED,,,,,,
95-29-04-76,0645-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,70,6,0,9,0,MULCHED,,,,,,
95-29-04-76,0645-001-001,17,YES,70,20000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,70,20000,FEBRUARY,2019,3,2,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,YES,5,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,40,10,0,0,0,MULCHED,,,,,,
81-88-93-76,0645-001-003,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,YES,ROTTING,1,30000,40,0,0,20,0,MULCHED,,,,,,
81-88-93-76,0645-001-003,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,20,0,0,0,MULCHED,,,,,,
73-60-06-64,0646-001-002,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
73-60-06-64,0646-001-002,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,41,4,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-85-24-94,0648-001-001,12,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,190,50,0,10,0,RESIDUE WAS LEFT IN FIELD,,,,,,
32-85-24-94,0648-001-001,17,YES,40,60000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,1,60000,MARCH,2019,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,23,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
75-45-78-14,0651-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,30,10,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
21-41-45-56,0652-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,32,6,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
21-41-45-56,0652-001-001,17,YES,40,40000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,40,40000,DECEMBER,2018,1,2,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,15,5,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
38-47-82-69,0652-003-001,17,YES,40,40000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,40,40000,JUNE,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,20,0,0,0,0,MULCHED,,,,,,
35-30-83-19,0653-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,20,20,0,10,0,MULCHED,,,,,,
42-93-81-17,0654-001-001,17,YES,20,30000,DUKANI/MCHUUZI,KARIBU NA KIJIJI,20,30000,DECEMBER,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,20,10,0,20,0,MULCHED,,,,,,
70-81-65-41,0654-001-002,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,10,SACKS / OPEN DRUM,YES,SPRAYING,FOOD FOR HOUSEHOLD,NO,,,,30,10,0,45,0,RESIDUE WAS LEFT IN FIELD,,,,,,
70-81-65-41,0654-001-002,28,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,3,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,25,0,0,6,0,RESIDUE WAS LEFT IN FIELD,,,,,,
