interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
74-12-78-76,0088-001-001,3,50,13,2008,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
74-12-78-76,0088-001-001,4,10,250,2019,250,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
74-12-78-76,0088-001-001,4,44,150,1995,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,750,NO,
74-12-78-76,0088-001-001,4,48,30,1989,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,78,NO,
74-12-78-76,0088-001-001,4,50,7,1998,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,6,NO,
47-53-89-65,0089-001-001,1,45,30,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,8,NO,
47-53-89-65,0089-001-001,1,48,31,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,50,NO,
47-53-89-65,0089-001-001,1,50,6,2013,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,6,NO,
47-53-89-65,0089-001-001,2,45,5,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,5,NO,
47-53-89-65,0089-001-001,2,48,20,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,10,NO,
47-53-89-65,0089-001-001,3,10,200,2018,150,NO,,NDIYO,2018,JULY,2019,JUNE,1,2,200,NO,
47-53-89-65,0089-001-001,3,48,20,2010,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,15,NO,
67-17-25-56,0089-002-001,1,45,15,2019,15,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
67-17-25-56,0089-002-001,1,48,200,2015,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
67-17-25-56,0089-002-001,1,50,8,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
67-17-25-56,0089-002-001,2,10,20,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,,100,NO,
67-17-25-56,0089-002-001,2,48,20,2017,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
67-17-25-56,0089-002-001,2,50,10,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
11-84-02-64,0089-002-002,1,10,50,2018,50,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,1,8,26,2016,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,4,NO,
13-79-88-08,0090-001-001,1,10,500,2018,500,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,400,NO,
